Price;BTCUSD;x;y;614999;qty;timestamp
Price;BTCUSD;x;y;614648;qty;timestamp
Price;BTCUSD;x;y;615576;qty;timestamp
Price;BTCUSD;x;y;618225;qty;timestamp
Price;BTCUSD;x;y;617851;qty;timestamp
Price;BTCUSD;x;y;618149;qty;timestamp
Price;BTCUSD;x;y;618838;qty;timestamp
Price;BTCUSD;x;y;620000;qty;timestamp
Price;BTCUSD;x;y;577811;qty;timestamp
Price;BTCUSD;x;y;592489;qty;timestamp
Price;BTCUSD;x;y;594717;qty;timestamp
Price;BTCUSD;x;y;591673;qty;timestamp
Price;BTCUSD;x;y;592582;qty;timestamp
Price;BTCUSD;x;y;594200;qty;timestamp
Price;BTCUSD;x;y;589398;qty;timestamp
Price;BTCUSD;x;y;586355;qty;timestamp
Price;BTCUSD;x;y;586374;qty;timestamp
Price;BTCUSD;x;y;589871;qty;timestamp
Price;BTCUSD;x;y;591075;qty;timestamp
Price;BTCUSD;x;y;591877;qty;timestamp
Price;BTCUSD;x;y;608500;qty;timestamp
Price;BTCUSD;x;y;612017;qty;timestamp
Price;BTCUSD;x;y;610739;qty;timestamp
Price;BTCUSD;x;y;613201;qty;timestamp
Price;BTCUSD;x;y;617829;qty;timestamp
Price;BTCUSD;x;y;620020;qty;timestamp
Price;BTCUSD;x;y;623284;qty;timestamp
Price;BTCUSD;x;y;613393;qty;timestamp
Price;BTCUSD;x;y;614381;qty;timestamp
Price;BTCUSD;x;y;614498;qty;timestamp
Price;BTCUSD;x;y;614118;qty;timestamp
Price;BTCUSD;x;y;612900;qty;timestamp
Price;BTCUSD;x;y;611224;qty;timestamp
Price;BTCUSD;x;y;613123;qty;timestamp
Price;BTCUSD;x;y;616000;qty;timestamp
Price;BTCUSD;x;y;614391;qty;timestamp
Price;BTCUSD;x;y;615075;qty;timestamp
Price;BTCUSD;x;y;614315;qty;timestamp
Price;BTCUSD;x;y;613900;qty;timestamp
Price;BTCUSD;x;y;610402;qty;timestamp
Price;BTCUSD;x;y;612028;qty;timestamp
Price;BTCUSD;x;y;606403;qty;timestamp
Price;BTCUSD;x;y;610527;qty;timestamp
Price;BTCUSD;x;y;613329;qty;timestamp
Price;BTCUSD;x;y;611000;qty;timestamp
Price;BTCUSD;x;y;613588;qty;timestamp
Price;BTCUSD;x;y;614400;qty;timestamp
Price;BTCUSD;x;y;614981;qty;timestamp
Price;BTCUSD;x;y;605982;qty;timestamp
Price;BTCUSD;x;y;608159;qty;timestamp
Price;BTCUSD;x;y;603227;qty;timestamp
Price;BTCUSD;x;y;608037;qty;timestamp
Price;BTCUSD;x;y;619533;qty;timestamp
Price;BTCUSD;x;y;622621;qty;timestamp
Price;BTCUSD;x;y;615682;qty;timestamp
Price;BTCUSD;x;y;617914;qty;timestamp
Price;BTCUSD;x;y;615998;qty;timestamp
Price;BTCUSD;x;y;617400;qty;timestamp
Price;BTCUSD;x;y;612000;qty;timestamp
Price;BTCUSD;x;y;634081;qty;timestamp
Price;BTCUSD;x;y;636011;qty;timestamp
Price;BTCUSD;x;y;637300;qty;timestamp
Price;BTCUSD;x;y;630867;qty;timestamp
Price;BTCUSD;x;y;639999;qty;timestamp
Price;BTCUSD;x;y;650848;qty;timestamp
Price;BTCUSD;x;y;664953;qty;timestamp
Price;BTCUSD;x;y;666091;qty;timestamp
Price;BTCUSD;x;y;666266;qty;timestamp
Price;BTCUSD;x;y;666999;qty;timestamp
Price;BTCUSD;x;y;666284;qty;timestamp
Price;BTCUSD;x;y;663699;qty;timestamp
Price;BTCUSD;x;y;672201;qty;timestamp
Price;BTCUSD;x;y;671901;qty;timestamp
Price;BTCUSD;x;y;672077;qty;timestamp
Price;BTCUSD;x;y;671106;qty;timestamp
Price;BTCUSD;x;y;671732;qty;timestamp
Price;BTCUSD;x;y;671380;qty;timestamp
Price;BTCUSD;x;y;669500;qty;timestamp
Price;BTCUSD;x;y;671595;qty;timestamp
Price;BTCUSD;x;y;671690;qty;timestamp
Price;BTCUSD;x;y;671899;qty;timestamp
Price;BTCUSD;x;y;672300;qty;timestamp
Price;BTCUSD;x;y;672612;qty;timestamp
Price;BTCUSD;x;y;671728;qty;timestamp
Price;BTCUSD;x;y;673500;qty;timestamp
Price;BTCUSD;x;y;673900;qty;timestamp
Price;BTCUSD;x;y;673499;qty;timestamp
Price;BTCUSD;x;y;672600;qty;timestamp
Price;BTCUSD;x;y;675605;qty;timestamp
Price;BTCUSD;x;y;676106;qty;timestamp
Price;BTCUSD;x;y;675499;qty;timestamp
Price;BTCUSD;x;y;676009;qty;timestamp
Price;BTCUSD;x;y;677000;qty;timestamp
Price;BTCUSD;x;y;677944;qty;timestamp
Price;BTCUSD;x;y;675730;qty;timestamp
Price;BTCUSD;x;y;675749;qty;timestamp
Price;BTCUSD;x;y;675610;qty;timestamp
Price;BTCUSD;x;y;673768;qty;timestamp
Price;BTCUSD;x;y;671832;qty;timestamp
Price;BTCUSD;x;y;674993;qty;timestamp
Price;BTCUSD;x;y;675416;qty;timestamp
Price;BTCUSD;x;y;674600;qty;timestamp
Price;BTCUSD;x;y;674937;qty;timestamp
Price;BTCUSD;x;y;675526;qty;timestamp
Price;BTCUSD;x;y;675685;qty;timestamp
Price;BTCUSD;x;y;675871;qty;timestamp
Price;BTCUSD;x;y;672802;qty;timestamp
Price;BTCUSD;x;y;661610;qty;timestamp
Price;BTCUSD;x;y;663510;qty;timestamp
Price;BTCUSD;x;y;662271;qty;timestamp
Price;BTCUSD;x;y;664333;qty;timestamp
Price;BTCUSD;x;y;664001;qty;timestamp
Price;BTCUSD;x;y;662777;qty;timestamp
Price;BTCUSD;x;y;662473;qty;timestamp
Price;BTCUSD;x;y;659998;qty;timestamp
Price;BTCUSD;x;y;660264;qty;timestamp
Price;BTCUSD;x;y;661301;qty;timestamp
Price;BTCUSD;x;y;661000;qty;timestamp
Price;BTCUSD;x;y;662499;qty;timestamp
Price;BTCUSD;x;y;667020;qty;timestamp
Price;BTCUSD;x;y;673641;qty;timestamp
Price;BTCUSD;x;y;672494;qty;timestamp
Price;BTCUSD;x;y;671700;qty;timestamp
Price;BTCUSD;x;y;669565;qty;timestamp
Price;BTCUSD;x;y;674421;qty;timestamp
Price;BTCUSD;x;y;671601;qty;timestamp
Price;BTCUSD;x;y;672001;qty;timestamp
Price;BTCUSD;x;y;671499;qty;timestamp
Price;BTCUSD;x;y;675029;qty;timestamp
Price;BTCUSD;x;y;674499;qty;timestamp
Price;BTCUSD;x;y;675600;qty;timestamp
Price;BTCUSD;x;y;676462;qty;timestamp
Price;BTCUSD;x;y;672401;qty;timestamp
